c FILE: yuzGCP130.13.col
c
c SOURCE: Yu.Zorin (yzorin@gmail.com)
c
c DESCRIPTION: Random graph based on cliques
c generated for Artificial Intelligence lectures course
c 10 cliques  each of 13 vertices
c
p edge 130 985
e 1 2
e 1 3
e 1 4
e 1 5
e 1 6
e 1 7
e 1 8
e 1 9
e 1 10
e 1 11
e 1 12
e 1 13
e 1 14
e 1 93
e 1 118
e 2 3
e 2 4
e 2 5
e 2 6
e 2 7
e 2 8
e 2 9
e 2 10
e 2 11
e 2 12
e 2 13
e 2 15
e 2 76
e 2 98
e 2 119
e 2 129
e 3 4
e 3 5
e 3 6
e 3 7
e 3 8
e 3 9
e 3 10
e 3 11
e 3 12
e 3 13
e 3 16
e 3 78
e 3 120
e 4 5
e 4 6
e 4 7
e 4 8
e 4 9
e 4 10
e 4 11
e 4 12
e 4 13
e 4 17
e 4 68
e 4 116
e 4 121
e 5 6
e 5 7
e 5 8
e 5 9
e 5 10
e 5 11
e 5 12
e 5 13
e 5 18
e 5 82
e 5 122
e 6 7
e 6 8
e 6 9
e 6 10
e 6 11
e 6 12
e 6 13
e 6 19
e 6 100
e 6 123
e 7 8
e 7 9
e 7 10
e 7 11
e 7 12
e 7 13
e 7 20
e 7 57
e 7 124
e 8 9
e 8 10
e 8 11
e 8 12
e 8 13
e 8 21
e 8 36
e 8 38
e 8 44
e 8 91
e 8 106
e 8 125
e 9 10
e 9 11
e 9 12
e 9 13
e 9 22
e 9 120
e 9 126
e 10 11
e 10 12
e 10 13
e 10 17
e 10 23
e 10 92
e 10 104
e 10 106
e 10 127
e 11 12
e 11 13
e 11 24
e 11 88
e 11 128
e 12 13
e 13 43
e 14 15
e 14 16
e 14 17
e 14 18
e 14 19
e 14 20
e 14 21
e 14 22
e 14 23
e 14 24
e 14 25
e 14 26
e 14 27
e 14 31
e 15 16
e 15 17
e 15 18
e 15 19
e 15 20
e 15 21
e 15 22
e 15 23
e 15 24
e 15 25
e 15 26
e 15 28
e 15 94
e 16 17
e 16 18
e 16 19
e 16 20
e 16 21
e 16 22
e 16 23
e 16 24
e 16 25
e 16 26
e 16 29
e 17 18
e 17 19
e 17 20
e 17 21
e 17 22
e 17 23
e 17 24
e 17 25
e 17 26
e 17 30
e 18 19
e 18 20
e 18 21
e 18 22
e 18 23
e 18 24
e 18 25
e 18 26
e 18 31
e 18 53
e 19 20
e 19 21
e 19 22
e 19 23
e 19 24
e 19 25
e 19 26
e 19 32
e 19 79
e 20 21
e 20 22
e 20 23
e 20 24
e 20 25
e 20 26
e 20 33
e 20 124
e 21 22
e 21 23
e 21 24
e 21 25
e 21 26
e 21 34
e 21 62
e 21 116
e 21 128
e 22 23
e 22 24
e 22 25
e 22 26
e 22 35
e 22 100
e 22 101
e 23 24
e 23 25
e 23 26
e 23 36
e 23 116
e 24 25
e 24 26
e 24 36
e 24 37
e 25 26
e 26 39
e 26 42
e 27 28
e 27 29
e 27 30
e 27 31
e 27 32
e 27 33
e 27 34
e 27 35
e 27 36
e 27 37
e 27 38
e 27 39
e 27 40
e 28 29
e 28 30
e 28 31
e 28 32
e 28 33
e 28 34
e 28 35
